feature,importance
numeric__total_events_4wk_sum,0.6328634093551114
numeric__violent_events_4wk_mean,0.15252544766865386
numeric__total_events_4wk_mean,0.09337623038298971
numeric__year,0.049391082644174064
numeric__violent_events_4wk_sum,0.030542583461196406
numeric__high_severity_events_4wk_mean,0.013580232109147578
categorical__ADMIN1_Kebbi,0.007598568941359485
numeric__total_events_lag_4,0.00626177467557688
categorical__ADMIN1_Borno,0.005389217008730094
categorical__ADMIN1_Gombe,0.005224860749175242
numeric__high_severity_events_lag_4,0.003246593003885364
categorical__ADMIN1_Edo,0.0
categorical__ADMIN1_Ekiti,0.0
categorical__ADMIN1_Delta,0.0
categorical__ADMIN1_Ebonyi,0.0
categorical__ADMIN1_Benue,0.0
categorical__ADMIN1_Bayelsa,0.0
categorical__ADMIN1_Bauchi,0.0
categorical__ADMIN1_Cross River,0.0
categorical__ADMIN1_Anambra,0.0
categorical__ADMIN1_Abia,0.0
categorical__ADMIN1_Adamawa,0.0
categorical__ADMIN1_Akwa Ibom,0.0
categorical__ADMIN1_Kwara,0.0
categorical__ADMIN1_Lagos,0.0
categorical__ADMIN1_Nassarawa,0.0
categorical__ADMIN1_Niger,0.0
categorical__ADMIN1_Ogun,0.0
categorical__ADMIN1_Ondo,0.0
categorical__ADMIN1_Osun,0.0
categorical__ADMIN1_Oyo,0.0
categorical__ADMIN1_Plateau,0.0
categorical__ADMIN1_Rivers,0.0
categorical__ADMIN1_Sokoto,0.0
categorical__ADMIN1_Taraba,0.0
categorical__ADMIN1_Yobe,0.0
categorical__ADMIN1_Zamfara,0.0
numeric__total_events,0.0
numeric__total_fatalities,0.0
numeric__battles,0.0
numeric__explosions_remote_violence,0.0
numeric__protests,0.0
numeric__riots,0.0
numeric__strategic_developments,0.0
numeric__violence_against_civilians,0.0
numeric__abductions,0.0
numeric__air_drone_strikes,0.0
categorical__ADMIN1_Federal Capital Territory,0.0
categorical__ADMIN1_Enugu,0.0
categorical__ADMIN1_Jigawa,0.0
categorical__ADMIN1_Imo,0.0
categorical__ADMIN1_Kaduna,0.0
categorical__ADMIN1_Kano,0.0
categorical__ADMIN1_Katsina,0.0
categorical__ADMIN1_Kogi,0.0
numeric__high_severity_events,0.0
numeric__violent_events,0.0
numeric__remote_explosives_ied,0.0
numeric__violent_demonstrations,0.0
numeric__suicide_bombs,0.0
numeric__mob_violence,0.0
numeric__attacks,0.0
numeric__armed_clashes,0.0
numeric__total_fatalities_lag_1,0.0
numeric__total_fatalities_lag_2,0.0
numeric__total_fatalities_lag_3,0.0
numeric__quarter,0.0
numeric__week_of_year,0.0
numeric__total_events_lag_1,0.0
numeric__total_events_lag_2,0.0
numeric__month,0.0
numeric__violent_events_lag_4,0.0
numeric__high_severity_events_lag_1,0.0
numeric__high_severity_events_lag_2,0.0
numeric__high_severity_events_lag_3,0.0
numeric__battles_lag_1,0.0
numeric__battles_lag_2,0.0
numeric__battles_lag_3,0.0
numeric__battles_lag_4,0.0
numeric__violence_against_civilians_lag_1,0.0
numeric__violence_against_civilians_lag_2,0.0
numeric__violence_against_civilians_lag_3,0.0
numeric__total_fatalities_lag_4,0.0
numeric__violent_events_lag_1,0.0
numeric__violent_events_lag_2,0.0
numeric__violent_events_lag_3,0.0
numeric__total_events_lag_3,0.0
numeric__abductions_lag_4,0.0
numeric__abductions_lag_3,0.0
numeric__abductions_lag_2,0.0
numeric__abductions_lag_1,0.0
numeric__violence_against_civilians_lag_4,0.0
numeric__explosions_remote_violence_lag_4,0.0
numeric__explosions_remote_violence_lag_1,0.0
numeric__explosions_remote_violence_lag_2,0.0
numeric__total_fatalities_4wk_sum,0.0
numeric__total_fatalities_4wk_mean,0.0
numeric__explosions_remote_violence_lag_3,0.0
numeric__high_severity_events_4wk_sum,0.0
numeric__abductions_4wk_mean,0.0
numeric__abductions_4wk_sum,0.0
numeric__event_change_1wk,0.0
numeric__fatality_change_1wk,0.0
numeric__violent_event_change_1wk,0.0
numeric__high_severity_change_1wk,0.0
numeric__abduction_change_1wk,0.0
numeric__event_pct_change_1wk,0.0
numeric__fatality_pct_change_1wk,0.0
numeric__violent_event_ratio,0.0
numeric__high_severity_ratio,0.0
numeric__battle_ratio,0.0
numeric__civilian_violence_ratio,0.0
numeric__abduction_ratio,0.0
numeric__explosion_ratio,0.0
numeric__protest_ratio,0.0
numeric__events_increasing,0.0
numeric__fatalities_increasing,0.0
numeric__violence_increasing,0.0
numeric__high_severity_increasing,0.0
