feature,importance
numeric__total_events_4wk_sum,0.04737929556462899
numeric__total_events_4wk_mean,0.04027555252000834
numeric__high_severity_events_4wk_mean,0.03538959563069913
numeric__high_severity_events_4wk_sum,0.03093314664519393
numeric__year,0.029135026151568412
numeric__week_of_year,0.028723649246217564
numeric__violent_events_4wk_mean,0.027394540369480896
numeric__total_fatalities_4wk_mean,0.02671857792606306
numeric__total_fatalities_4wk_sum,0.0265097978693854
numeric__event_pct_change_1wk,0.026228851883342365
numeric__violent_events_4wk_sum,0.02478929018585585
numeric__total_events,0.02075722154362328
numeric__total_events_lag_4,0.02044101487595781
numeric__month,0.02031140953535695
numeric__total_events_lag_3,0.019451700703049097
numeric__total_events_lag_2,0.018149174288251236
numeric__total_fatalities_lag_4,0.017655004477854164
numeric__fatality_pct_change_1wk,0.016997842583353823
numeric__high_severity_events_lag_4,0.016300811638002576
numeric__violent_events_lag_4,0.015603360729646434
numeric__total_events_lag_1,0.015574904760339216
numeric__fatality_change_1wk,0.014894125689640948
numeric__high_severity_ratio,0.014197826304124785
numeric__total_fatalities_lag_2,0.014022509400942731
numeric__violent_events_lag_3,0.013872709459419446
numeric__violent_events,0.01363821394865398
numeric__high_severity_events,0.013554562522072846
numeric__event_change_1wk,0.013513552419739897
numeric__total_fatalities_lag_3,0.012408287222595052
numeric__quarter,0.011733016640451895
numeric__total_fatalities,0.011415347625017011
numeric__high_severity_events_lag_1,0.011406470984700826
numeric__high_severity_events_lag_3,0.011341354407502677
numeric__violent_events_lag_1,0.011095550900650864
numeric__total_fatalities_lag_1,0.010968040512212611
numeric__violent_events_lag_2,0.010634797842420564
numeric__high_severity_events_lag_2,0.010445475167983
numeric__violent_event_ratio,0.01025800120944391
numeric__violence_against_civilians_lag_4,0.01022758530250622
numeric__violence_against_civilians_lag_1,0.0096821925960772
numeric__protest_ratio,0.00837815268745648
numeric__violent_event_change_1wk,0.008234265345862931
numeric__protests,0.007889565087084265
numeric__high_severity_change_1wk,0.007818887408779677
numeric__battles_lag_4,0.007724183236708306
numeric__abductions_4wk_mean,0.007611805242825486
numeric__violence_against_civilians_lag_2,0.007565143783412355
numeric__civilian_violence_ratio,0.007297290015932347
numeric__violence_against_civilians_lag_3,0.006826994600852444
numeric__abductions_4wk_sum,0.00681858366195977
numeric__violence_against_civilians,0.006587193479238308
numeric__battles_lag_3,0.006198810369650127
numeric__battles_lag_1,0.0058427196877577125
numeric__battle_ratio,0.005501315447592026
numeric__battles_lag_2,0.005305945811616826
numeric__abduction_change_1wk,0.004598999587625524
numeric__attacks,0.0045466383148803444
numeric__riots,0.0042128338695143165
numeric__battles,0.004065965628602948
numeric__armed_clashes,0.0037876875425409684
numeric__abductions_lag_4,0.0037741544410798415
numeric__abduction_ratio,0.003327114203895329
numeric__abductions_lag_2,0.003281916844336345
numeric__mob_violence,0.0031881606147971453
numeric__abductions_lag_3,0.0031773344524744654
numeric__events_increasing,0.0030652041703035674
numeric__fatalities_increasing,0.0030125106285649045
numeric__abductions_lag_1,0.0029488647856143984
categorical__ADMIN1_Federal Capital Territory,0.00293808625363347
numeric__strategic_developments,0.0029144183396807703
categorical__ADMIN1_Adamawa,0.0026571524372282725
categorical__ADMIN1_Kebbi,0.0026010944692832763
categorical__ADMIN1_Taraba,0.0025012586414350888
categorical__ADMIN1_Rivers,0.0024854144694738214
numeric__violent_demonstrations,0.002455755971383989
categorical__ADMIN1_Delta,0.002403772296114618
categorical__ADMIN1_Cross River,0.0023620914508532057
categorical__ADMIN1_Lagos,0.0022852593212075267
numeric__abductions,0.0022815232706445377
categorical__ADMIN1_Ondo,0.0022796142349248458
categorical__ADMIN1_Bayelsa,0.002248929423927363
categorical__ADMIN1_Ekiti,0.002177196007320699
categorical__ADMIN1_Enugu,0.0020826105921176526
categorical__ADMIN1_Gombe,0.002070968485496775
categorical__ADMIN1_Kogi,0.002070157108175449
numeric__explosions_remote_violence_lag_1,0.002057843085356389
categorical__ADMIN1_Akwa Ibom,0.0020283423550873894
numeric__violence_increasing,0.002027606704105732
categorical__ADMIN1_Jigawa,0.002020670195085854
categorical__ADMIN1_Edo,0.002014461871901278
categorical__ADMIN1_Yobe,0.001983522801574776
categorical__ADMIN1_Anambra,0.001965886968279508
categorical__ADMIN1_Osun,0.0019469344692435897
categorical__ADMIN1_Plateau,0.0019224496271363376
categorical__ADMIN1_Sokoto,0.0019212381550606748
categorical__ADMIN1_Abia,0.00190530440883326
categorical__ADMIN1_Imo,0.001877727713153871
categorical__ADMIN1_Oyo,0.0018615246247425169
categorical__ADMIN1_Nassarawa,0.0018241176792769286
categorical__ADMIN1_Benue,0.00178356540008269
categorical__ADMIN1_Ebonyi,0.001755561688828608
categorical__ADMIN1_Ogun,0.0017395746310191116
categorical__ADMIN1_Kwara,0.001732625998038656
numeric__high_severity_increasing,0.0017215421943726922
categorical__ADMIN1_Kaduna,0.001715805489991943
categorical__ADMIN1_Bauchi,0.001535112820582266
categorical__ADMIN1_Kano,0.001436639786629604
numeric__explosions_remote_violence,0.0014205564547011748
