State/FCT,Assessment Week,Forecast Week,Predicted Risk,Confidence (%)
Borno,2026-08-08,2026-08-15,High,96.99
Sokoto,2026-08-08,2026-08-15,High,95.97
Kaduna,2026-08-08,2026-08-15,High,93.58
Niger,2026-08-08,2026-08-15,High,93.24
Zamfara,2026-08-08,2026-08-15,High,92.93
Benue,2026-08-08,2026-08-15,High,91.46
Kogi,2026-08-08,2026-08-15,High,88.52
Kebbi,2026-08-08,2026-08-15,High,87.69
Katsina,2026-08-08,2026-08-15,High,86.0
Plateau,2026-08-08,2026-08-15,High,85.88
Kano,2026-08-08,2026-08-15,High,74.97
Nassarawa,2026-08-08,2026-08-15,High,73.28
Osun,2026-08-08,2026-08-15,High,65.94
Yobe,2026-08-08,2026-08-15,High,55.28
Adamawa,2026-08-08,2026-08-15,High,54.25
Kwara,2026-08-08,2026-08-15,High,50.11
Taraba,2026-08-08,2026-08-15,High,47.34
Ogun,2026-08-08,2026-08-15,High,45.63
Enugu,2026-08-08,2026-08-15,High,45.48
Rivers,2026-08-08,2026-08-15,High,41.12
Federal Capital Territory,2026-08-08,2026-08-15,Medium,47.42
Ondo,2026-08-08,2026-08-15,Medium,46.51
Cross River,2026-08-08,2026-08-15,Medium,45.51
Edo,2026-08-08,2026-08-15,Medium,45.42
Lagos,2026-08-08,2026-08-15,Medium,45.26
Bauchi,2026-08-08,2026-08-15,Medium,44.37
Anambra,2026-08-08,2026-08-15,Medium,39.51
Gombe,2026-08-08,2026-08-15,Low,63.96
Jigawa,2026-08-08,2026-08-15,Low,63.01
Abia,2026-08-08,2026-08-15,Low,59.86
Akwa Ibom,2026-08-08,2026-08-15,Low,59.42
Ekiti,2026-08-08,2026-08-15,Low,53.34
Ebonyi,2026-08-08,2026-08-15,Low,52.95
Bayelsa,2026-08-08,2026-08-15,Low,50.6
Oyo,2026-08-08,2026-08-15,Low,49.94
Delta,2026-08-08,2026-08-15,Low,44.94
Imo,2026-08-08,2026-08-15,Low,41.79
