WEEK,ADMIN1,total_events,total_fatalities,latitude,longitude,battles,explosions_remote_violence,protests,riots,strategic_developments,violence_against_civilians,abductions,air_drone_strikes,armed_clashes,attacks,mob_violence,suicide_bombs,violent_demonstrations,remote_explosives_ied
1998-11-07,Abia,1,5,5.433,7.4937,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2000-02-12,Abia,1,50,5.433,7.4937,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2000-02-26,Abia,3,452,5.433,7.4937,3,0,0,0,0,0,0,0,3,0,0,0,0,0
2000-05-20,Abia,1,2,5.433,7.4937,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2000-07-29,Abia,1,0,5.433,7.4937,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2002-08-24,Abia,1,0,5.433,7.4937,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-11-23,Abia,1,0,5.433,7.4937,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2005-01-22,Abia,1,0,5.433,7.4937,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-04-02,Abia,1,0,5.433,7.4937,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2005-07-09,Abia,1,0,5.433,7.4937,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-12-31,Abia,1,5,5.433,7.4937,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2006-09-23,Abia,1,1,5.433,7.4937,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2008-01-05,Abia,1,0,5.433,7.4937,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2008-10-18,Abia,1,4,5.433,7.4937,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-11-22,Abia,1,3,5.433,7.4937,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2009-06-20,Abia,1,0,5.433,7.4937,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2009-06-27,Abia,1,0,5.433,7.4937,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2009-09-26,Abia,2,10,5.433,7.4937,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2009-12-19,Abia,1,1,5.433,7.4937,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2010-01-09,Abia,1,0,5.433,7.4937,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2010-01-23,Abia,1,0,5.433,7.4937,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010-03-06,Abia,2,2,5.433,7.4937,1,0,0,0,0,1,0,0,1,1,0,0,0,0
2010-03-20,Abia,2,1,5.433,7.4937,0,0,0,0,0,2,0,0,0,2,0,0,0,0
2010-03-27,Abia,1,2,5.433,7.4937,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-04-17,Abia,1,0,5.433,7.4937,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2010-07-10,Abia,1,0,5.433,7.4937,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2010-09-25,Abia,1,0,5.433,7.4937,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2010-11-27,Abia,1,1,5.433,7.4937,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2010-12-11,Abia,1,1,5.433,7.4937,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-12-25,Abia,1,1,5.433,7.4937,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2012-10-06,Abia,1,0,5.433,7.4937,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-03-02,Abia,1,0,5.433,7.4937,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013-08-10,Abia,1,0,5.433,7.4937,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-12-07,Abia,1,2,5.433,7.4937,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-06-14,Abia,1,0,5.433,7.4937,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-07-05,Abia,1,0,5.433,7.4937,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2014-10-11,Abia,1,0,5.433,7.4937,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-10-25,Abia,1,0,5.433,7.4937,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2014-11-15,Abia,1,0,5.433,7.4937,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2015-02-07,Abia,1,0,5.433,7.4937,0,0,1,0,0,0,0,0,0,0,0,0,0,0
